otu_id,otu_label,,,,,,,,,,,,,,,,,940,941,943,944,945,946,947,948,949,950,952,953,954,955,956,958,959,960,961,962,963,964,966,967,968,969,970,971,972,973,974,975,978,1233,1234,1235,1236,1237,1238,1242,1243,1246,1253,1254,1258,1259,1260,1264,1265,1273,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1308,1309,1310,1374,1415,1439,1441,1443,1486,1487,1489,1490,1491,1494,1495,1497,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1521,1524,1526,1527,1530,1531,1532,1533,1534,1535,1536,1537,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1561,1562,1563,1564,1572,1573,1574,1576,1577,1581,1601,Total
1795,Abiotrophia,Abiotrophia,0,,,,,,,,,,,,,,,10,40,2,11,141,2,102,8,3,427,1,246,275,26,179,122,150,32,430,24,13,11,41,3,29,28,39,12,60,15,2,300,0,0,0,52,1,528,0,145,146,24,70,21,23,35,199,18,36,35,8,14,25,173,2,98,135,7,0,0,11,0,0,4,0,2,4,23,4,23,282,267,1,49,86,53,15,276,473,71,3,17,2,1,1,3,10,56,1,0,8,805,1,14,47,17,255,2,43,1,339,24,48,204,4,309,27,382,27,78,553,0,0,117,7,604,55,335,685,1305,182,20,0,39,1,1,428,11,406,981,65,83,183,24,70,289,7,27,567,511,3,449,8,143,1,537,26,3,14,1,130,176,97,18096
922,Abiotrophia,Acetobacter,,,,,,,,,,,,,,,,1,27,1,278,129,1,45,185,1,123,182,302,265,137,33,637,147,40,2,0,40,6,171,0,398,1,1,281,74,8,137,78,0,26,1,58,352,13,1,20,60,0,104,61,32,3,6,1,1,1,0,87,25,196,14,98,0,0,1,1,219,29,0,1,1,0,2,28,10,25,3,0,0,32,0,0,4,0,69,4,0,184,0,0,198,19,5,233,0,2,15,3,391,107,9,121,2,0,67,0,105,21,354,389,0,430,38,1,1,1,13,3,0,11,0,17,223,87,621,27,204,64,38,1,0,0,1,1,0,6,8,0,4,0,5,5,1,5,179,168,0,0,0,53,50,0,0,92,13,0,152,0,10,10078
944,Acetobacter,Acetobacteraceae,,,,,,,,,,,,,,,,19,178,0,8,274,7,135,9,4,14,11,54,335,49,34,1,0,34,9,0,39,17,20,13,242,90,1,17,25,21,65,71,1,2,7,113,40,28,1,338,73,20,47,9,35,25,79,6,20,59,2,26,29,6,6,240,161,36,3,0,0,2,0,34,0,0,7,25,17,48,10,21,1,3,60,0,23,92,0,88,3,51,3,0,0,26,8,0,0,8,3,12,1,1,16,0,82,1,2,2,250,15,65,29,3,3,25,79,10,23,418,2,0,4,1,9,9,143,111,0,0,48,0,23,0,0,104,5,17,41,34,1,6,2,23,31,25,102,41,41,0,40,0,156,0,22,13,0,15,0,3,1,25,5876
2419,Acetobacteraceae,Acidimicrobiales,,,,,,,,,,,,,,,,13,162,0,0,110,36,412,55,8,5,32,12,0,91,45,46,0,27,4,0,70,15,7,38,199,0,0,66,44,19,217,38,0,13,11,102,101,64,15,178,47,105,48,4,25,8,98,8,31,97,8,49,8,108,16,78,0,10,1,1,48,25,0,24,1,0,3,11,18,27,1,0,0,6,3,0,10,24,0,9,11,152,0,0,0,36,54,0,0,1,8,0,14,10,19,2,49,0,9,0,2,2,75,0,0,0,26,30,1,0,136,0,0,0,3,2,1,0,0,4,23,150,1,2,0,0,22,3,1,4,2,0,0,0,1,0,162,10,0,3,0,0,0,3,1,0,2,5,16,0,0,0,22,4295
1167,Acetobacteraceae,Acidimicrobidae_incertae_sedis,,,,,,,,,,,,,,,,163,24,0,0,32,217,27,18,0,0,1,0,0,17,41,0,0,0,4,0,26,9,1,0,2,0,0,4,16,10,1,11,202,2,82,62,54,8,53,35,10,231,54,0,15,11,5,9,55,96,159,0,1,0,0,0,0,1,109,64,0,0,0,6,49,0,83,114,101,43,14,0,0,26,40,0,22,0,0,0,132,0,1,0,0,288,320,0,0,81,0,0,0,0,58,0,0,84,0,0,0,166,0,0,2,0,0,69,123,0,0,17,0,2,67,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,128,0,0,0,0,93,0,14,0,0,0,73,4244
2859,Acetobacteraceae,Acidobacteria,,,,,,,,,,,,,,,,126,21,0,0,40,195,200,47,0,4,8,0,0,58,28,0,0,2,19,0,40,11,1,0,12,0,1,10,50,24,90,21,273,8,61,125,11,65,21,59,28,193,45,0,46,3,17,42,118,215,18,28,1,8,1,0,0,2,31,14,17,202,0,41,47,0,13,52,39,25,20,33,0,39,5,5,23,50,0,0,51,19,0,0,0,20,109,0,0,103,19,0,0,0,52,0,0,34,0,0,0,159,0,1,4,0,20,0,40,0,4,5,0,0,125,7,0,0,0,0,1,0,27,0,0,0,0,0,5,3,0,0,0,0,1,0,24,4,0,0,0,95,0,0,0,0,19,0,14,0,0,0,0,4017
2539,Acetobacteraceae,Acidobacteria_Gp1,,,,,,,,,,,,,,,,1,92,0,0,10,18,23,9,0,0,52,2,0,14,2,11,0,0,8,0,43,0,1,239,10,0,0,36,37,0,320,36,0,1,95,6,219,12,0,67,42,45,21,2,29,0,94,14,26,81,9,4,6,44,12,21,0,42,11,2,197,46,0,83,2,0,14,35,35,89,14,0,1,12,8,0,34,174,0,0,20,78,6,0,0,56,41,0,0,2,0,0,9,2,59,0,8,123,0,0,2,16,34,0,4,1,20,145,30,0,0,2,0,3,0,0,0,0,0,0,0,112,8,0,0,0,0,0,1,0,0,0,0,0,0,0,449,3,0,3,1,0,0,0,0,0,2,0,13,0,0,0,9,3875
2722,Acetobacteraceae,Acidobacteria_Gp10,,,,,,,,,,,,,,,,8,194,0,2,35,114,236,64,0,0,32,1,0,61,6,0,0,6,33,0,8,0,7,72,20,2,0,0,24,4,30,9,6,7,61,26,30,98,12,142,8,29,13,1,1,0,8,20,68,224,12,21,2,4,11,0,0,0,3,0,35,68,0,2,0,0,2,12,8,14,16,266,0,4,22,0,12,56,0,0,10,0,0,0,0,29,39,0,0,1,1,0,0,1,27,0,0,41,0,0,9,38,32,0,0,0,27,101,0,7,27,4,0,1,107,1,0,0,0,0,1,27,24,6,0,0,0,0,8,17,2,2,0,0,0,0,2,24,0,0,0,92,0,0,0,0,2,0,5,0,0,0,5,3012
482,Acetobacteraceae,Acidobacteria_Gp16,,,,,,,,,,,,,,,,113,8,0,0,9,28,3,50,0,0,6,0,0,3,27,0,0,0,1,0,19,12,0,0,1,0,0,10,8,4,35,10,180,2,70,121,0,2,0,57,7,90,23,0,28,11,12,29,121,0,9,0,1,0,0,0,0,1,10,7,0,0,0,17,104,0,7,18,11,5,32,0,9,81,8,0,39,2,0,0,116,9,0,0,0,0,0,0,0,113,0,0,0,0,140,0,0,1,0,0,0,0,0,0,4,0,0,0,31,0,1,8,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,67,0,29,0,0,0,0,2160
